arc_fraction,noise_std,method_name,displacement_rmse_mean_m,unusable_rate
0.15,0.0,raw_atan2,5.839621910993013e-09,0.0
0.15,0.005,raw_atan2,5.85932672330927e-09,0.0
0.15,0.01,raw_atan2,5.856467678177259e-09,0.0
0.15,0.02,raw_atan2,5.928635888785816e-09,0.0
0.15,0.03,raw_atan2,6.006571928093429e-09,0.0
0.15,0.04,raw_atan2,6.1008438487727975e-09,0.0
0.15,0.05,raw_atan2,6.27533641165688e-09,0.0
0.15,0.06,raw_atan2,6.496957491624616e-09,0.0
0.15,0.08,raw_atan2,6.819168032374923e-09,0.0
0.15,0.1,raw_atan2,7.268320543306256e-09,0.0
0.25,0.0,raw_atan2,4.675554805716263e-09,0.0
0.25,0.005,raw_atan2,4.682678226850213e-09,0.0
0.25,0.01,raw_atan2,4.688080621827544e-09,0.0
0.25,0.02,raw_atan2,4.750411886727832e-09,0.0
0.25,0.03,raw_atan2,4.878304376775019e-09,0.0
0.25,0.04,raw_atan2,4.988899383637481e-09,0.0
0.25,0.05,raw_atan2,5.2092729427045845e-09,0.0
0.25,0.06,raw_atan2,5.357196823200686e-09,0.0
0.25,0.08,raw_atan2,5.9037583144672005e-09,0.0
0.25,0.1,raw_atan2,6.560493043775292e-09,0.0
0.35,0.0,raw_atan2,4.076029898876693e-09,0.0
0.35,0.005,raw_atan2,4.089445644640313e-09,0.0
0.35,0.01,raw_atan2,4.1069672200532315e-09,0.0
0.35,0.02,raw_atan2,4.169599629984812e-09,0.0
0.35,0.03,raw_atan2,4.3233738416657e-09,0.0
0.35,0.04,raw_atan2,4.454887748993852e-09,0.0
0.35,0.05,raw_atan2,4.633163889465607e-09,0.0
0.35,0.06,raw_atan2,4.928143137347572e-09,0.0
0.35,0.08,raw_atan2,5.6039450021328835e-09,0.0
0.35,0.1,raw_atan2,6.195384952949769e-09,0.0
0.5,0.0,raw_atan2,3.6343539159241515e-09,0.0
0.5,0.005,raw_atan2,3.6490875330263373e-09,0.0
0.5,0.01,raw_atan2,3.670428930413778e-09,0.0
0.5,0.02,raw_atan2,3.7474478401672545e-09,0.0
0.5,0.03,raw_atan2,3.9393095747869294e-09,0.0
0.5,0.04,raw_atan2,4.112842207406672e-09,0.0
0.5,0.05,raw_atan2,4.35158889127209e-09,0.0
0.5,0.06,raw_atan2,4.5599106404661475e-09,0.0
0.5,0.08,raw_atan2,5.244611468138258e-09,0.0
0.5,0.1,raw_atan2,6.094619840976941e-09,0.0
0.75,0.0,raw_atan2,3.915395819222012e-09,0.0
0.75,0.005,raw_atan2,3.92579382651804e-09,0.0
0.75,0.01,raw_atan2,3.948632849398808e-09,0.0
0.75,0.02,raw_atan2,4.037315138888235e-09,0.0
0.75,0.03,raw_atan2,4.1665818826538076e-09,0.0
0.75,0.04,raw_atan2,4.393120492624665e-09,0.0
0.75,0.05,raw_atan2,4.572165557953607e-09,0.0
0.75,0.06,raw_atan2,4.854904649817096e-09,0.0
0.75,0.08,raw_atan2,5.437621951945923e-09,0.0
0.75,0.1,raw_atan2,6.189504468082405e-09,0.0
1.0,0.0,raw_atan2,3.727034379997724e-09,0.0
1.0,0.005,raw_atan2,3.73015035881876e-09,0.0
1.0,0.01,raw_atan2,3.7744667105301964e-09,0.0
1.0,0.02,raw_atan2,3.846004254696709e-09,0.0
1.0,0.03,raw_atan2,3.974950437539238e-09,0.0
1.0,0.04,raw_atan2,4.186195202142902e-09,0.0
1.0,0.05,raw_atan2,4.409116949064555e-09,0.0
1.0,0.06,raw_atan2,4.6128463168143935e-09,0.0
1.0,0.08,raw_atan2,5.332941268583346e-09,0.0
1.0,0.1,raw_atan2,6.049078832864264e-09,0.0
0.02,0.0,taubin,3.444471169653e-10,0.0
0.02,0.005,taubin,2.930883370186244e-08,0.18
0.02,0.01,taubin,6.641113901849532e-08,0.42
0.02,0.02,taubin,6.911012854825571e-08,0.6
0.02,0.03,taubin,7.610531371350931e-08,0.84
0.02,0.04,taubin,8.452999976759421e-08,0.98
0.02,0.05,taubin,9.598966686041533e-08,1.0
0.02,0.06,taubin,8.84927602369123e-08,0.98
0.02,0.08,taubin,8.925911002928343e-08,1.0
0.02,0.1,taubin,9.186687166524147e-08,1.0
0.05,0.0,taubin,5.86323184471905e-10,0.0
0.05,0.005,taubin,9.543238044035519e-10,0.0
0.05,0.01,taubin,1.7401977620674046e-09,0.0
0.05,0.02,taubin,1.4688904119694242e-08,0.08
0.05,0.03,taubin,2.77133541213197e-08,0.16
0.05,0.04,taubin,6.638040716808728e-08,0.44
0.05,0.05,taubin,7.359002833782356e-08,0.62
0.05,0.06,taubin,7.698695659606706e-08,0.78
0.05,0.08,taubin,8.474714994137756e-08,0.92
0.05,0.1,taubin,8.471907402480117e-08,0.98
0.1,0.0,taubin,7.543500148449424e-10,0.0
0.1,0.005,taubin,8.674464531438309e-10,0.0
0.1,0.01,taubin,1.126773994882282e-09,0.0
0.1,0.02,taubin,2.025861284394711e-09,0.0
0.1,0.03,taubin,2.9285873357299566e-09,0.0
0.1,0.04,taubin,3.482399087858093e-09,0.0
0.1,0.05,taubin,4.787249700766118e-09,0.0
0.1,0.06,taubin,1.43673171195752e-08,0.06
0.1,0.08,taubin,4.2970298052000096e-08,0.28
0.1,0.1,taubin,3.9548903421560176e-08,0.38
0.15,0.0,taubin,7.079803440327391e-10,0.0
0.15,0.005,taubin,7.812856725007948e-10,0.0
0.15,0.01,taubin,9.538653083173121e-10,0.0
0.15,0.02,taubin,1.6090883312040415e-09,0.0
0.15,0.03,taubin,2.140770168513204e-09,0.0
0.15,0.04,taubin,3.066839176076193e-09,0.0
0.15,0.05,taubin,3.7535748404034685e-09,0.0
0.15,0.06,taubin,4.434008738225265e-09,0.0
0.15,0.08,taubin,6.870858871924277e-09,0.0
0.15,0.1,taubin,8.204482580185881e-09,0.0
0.25,0.0,taubin,2.2519362879296163e-09,0.0
0.25,0.005,taubin,2.2782458948454517e-09,0.0
0.25,0.01,taubin,2.309828665597601e-09,0.0
0.25,0.02,taubin,2.6457417047945387e-09,0.0
0.25,0.03,taubin,2.801847248579748e-09,0.0
0.25,0.04,taubin,3.27276358005717e-09,0.0
0.25,0.05,taubin,3.526584694652023e-09,0.0
0.25,0.06,taubin,4.2312866684467906e-09,0.0
0.25,0.08,taubin,5.781680185461135e-09,0.0
0.25,0.1,taubin,6.610358558669158e-09,0.0
0.35,0.0,taubin,4.2193516320032275e-09,0.0
0.35,0.005,taubin,4.2318118257799075e-09,0.0
0.35,0.01,taubin,4.226313880460378e-09,0.0
0.35,0.02,taubin,4.319927230820264e-09,0.0
0.35,0.03,taubin,4.4772773762131245e-09,0.0
0.35,0.04,taubin,4.652620797870371e-09,0.0
0.35,0.05,taubin,5.250963751231324e-09,0.0
0.35,0.06,taubin,5.394816732837608e-09,0.0
0.35,0.08,taubin,6.173482036108905e-09,0.0
0.35,0.1,taubin,6.808744148563091e-09,0.0
0.5,0.0,taubin,4.754199497691312e-09,0.0
0.5,0.005,taubin,4.759485190282229e-09,0.0
0.5,0.01,taubin,4.7715791365652116e-09,0.0
0.5,0.02,taubin,4.862957785044327e-09,0.0
0.5,0.03,taubin,5.019453532965369e-09,0.0
0.5,0.04,taubin,5.134076695180659e-09,0.0
0.5,0.05,taubin,5.388297371374063e-09,0.0
0.5,0.06,taubin,5.7698571982780404e-09,0.0
0.5,0.08,taubin,6.290572924345024e-09,0.0
0.5,0.1,taubin,6.796759357854483e-09,0.0
0.75,0.0,taubin,4.386597839207312e-09,0.0
0.75,0.005,taubin,4.393437322200773e-09,0.0
0.75,0.01,taubin,4.4182251069563375e-09,0.0
0.75,0.02,taubin,4.529751621907503e-09,0.0
0.75,0.03,taubin,4.673333646207421e-09,0.0
0.75,0.04,taubin,4.874542327697439e-09,0.0
0.75,0.05,taubin,5.062587258602631e-09,0.0
0.75,0.06,taubin,5.473093686791953e-09,0.0
0.75,0.08,taubin,6.1826875852846334e-09,0.0
0.75,0.1,taubin,7.008015796359469e-09,0.0
1.0,0.0,taubin,3.607018007516508e-09,0.0
1.0,0.005,taubin,3.612775790286559e-09,0.0
1.0,0.01,taubin,3.660054712233662e-09,0.0
1.0,0.02,taubin,3.733329078271083e-09,0.0
1.0,0.03,taubin,3.869326835038113e-09,0.0
1.0,0.04,taubin,4.092289658441864e-09,0.0
1.0,0.05,taubin,4.324622371884269e-09,0.0
1.0,0.06,taubin,4.567751750388061e-09,0.0
1.0,0.08,taubin,5.323644057091532e-09,0.0
1.0,0.1,taubin,6.038162373921824e-09,0.0
